id,type,document_type,last_modified_date,highlighted_content,withdrawn,agency_id,title,object_id,posted_date,links_self
VA-2020-VHA-0024-0004,comments,Public Submission,2020-11-12T19:26:52Z,,FALSE,VA,"Comment on AQ94-Interim Final Rule-Batley, Tyler",090000648495a6f1,2020-11-12T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0004
VA-2020-VHA-0024-0005,comments,Public Submission,2020-11-12T19:34:12Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Anonymous,090000648495accf,2020-11-12T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0005
VA-2020-VHA-0024-0006,comments,Public Submission,2020-11-13T13:28:22Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495a87a,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0006
VA-2020-VHA-0024-0007,comments,Public Submission,2020-11-13T13:28:22Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495b402,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0007
VA-2020-VHA-0024-0008,comments,Public Submission,2020-11-13T13:28:23Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495b5f8,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0008
VA-2020-VHA-0024-0009,comments,Public Submission,2020-11-13T13:28:23Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cac0,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0009
VA-2020-VHA-0024-0010,comments,Public Submission,2020-11-13T13:28:23Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cabf,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0010
VA-2020-VHA-0024-0011,comments,Public Submission,2020-11-13T13:28:24Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cac2,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0011
VA-2020-VHA-0024-0012,comments,Public Submission,2020-11-13T13:28:24Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cacf,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0012
VA-2020-VHA-0024-0013,comments,Public Submission,2020-11-13T13:28:24Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cace,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0013
VA-2020-VHA-0024-0014,comments,Public Submission,2020-11-13T13:28:25Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cad0,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0014
VA-2020-VHA-0024-0015,comments,Public Submission,2020-11-13T13:28:25Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cac4,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0015
VA-2020-VHA-0024-0016,comments,Public Submission,2020-11-13T13:28:26Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cac5,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0016
VA-2020-VHA-0024-0017,comments,Public Submission,2020-11-13T13:28:26Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cac6,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0017
VA-2020-VHA-0024-0018,comments,Public Submission,2020-11-13T13:28:26Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cad3,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0018
VA-2020-VHA-0024-0019,comments,Public Submission,2020-11-13T13:28:27Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cad6,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0019
VA-2020-VHA-0024-0020,comments,Public Submission,2020-11-13T13:28:27Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cad4,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0020
VA-2020-VHA-0024-0021,comments,Public Submission,2020-11-13T13:28:27Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cad7,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0021
VA-2020-VHA-0024-0022,comments,Public Submission,2020-11-13T13:28:28Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cadf,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0022
VA-2020-VHA-0024-0023,comments,Public Submission,2020-11-13T13:28:28Z,,FALSE,VA,Comment on AQ94-Interim Final Rule-Comment Submission,090000648495cae0,2020-11-13T05:00:00Z,https://api.regulations.gov/v4/comments/VA-2020-VHA-0024-0023
